rule_name,severity,user_id,timestamp,description,recommendation,risk_score,risk_level
brute_force_attempt,Critical,user8,2026-04-16 00:20:48.882918,user8 had 6 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user15,2026-04-16 00:00:48.882918,user15 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user6,2026-04-15 22:37:48.882918,user6 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,admin1,2026-04-15 18:05:48.882918,admin1 had 10 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user11,2026-04-15 13:53:48.882918,user11 had 13 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user23,2026-04-15 08:06:48.882918,user23 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user22,2026-04-15 06:09:48.882918,user22 had 6 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user4,2026-04-15 03:52:48.882918,user4 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user1,2026-04-14 16:25:48.882918,user1 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user5,2026-04-13 21:10:48.882918,user5 had 17 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user3,2026-04-13 06:48:48.882918,user3 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user2,2026-04-12 11:51:48.882918,user2 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user12,2026-04-11 20:48:48.882918,user12 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
impossible_travel,High,user13,2026-04-16 04:51:48.882918,user13 logged in from US and then CA within 1.8 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user23,2026-04-16 01:00:48.882918,user23 logged in from DE and then IN within 1.2 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user25,2026-04-15 19:55:48.882918,user25 logged in from UK and then US within 1.9 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user20,2026-04-15 11:44:48.882918,user20 logged in from US and then DE within 1.6 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user21,2026-04-15 05:18:48.882918,user21 logged in from DE and then US within 1.2 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user14,2026-04-14 12:43:48.882918,user14 logged in from DE and then US within 1.4 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,admin1,2026-04-14 06:53:48.882918,admin1 logged in from US and then UK within 2.0 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user27,2026-04-13 19:35:48.882918,user27 logged in from US and then DE within 0.7 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user8,2026-04-12 11:12:48.882918,user8 logged in from US and then CA within 0.0 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user22,2026-04-12 05:07:48.882918,user22 logged in from US and then DE within 0.3 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user29,2026-04-11 21:55:48.882918,user29 logged in from US and then DE within 0.1 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user18,2026-04-10 07:34:48.882918,user18 logged in from DE and then US within 1.6 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user7,2026-04-08 20:26:48.882918,user7 logged in from US and then IN within 0.0 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user1,2026-04-08 19:53:48.882918,user1 logged in from US and then UK within 1.8 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user4,2026-04-08 16:34:48.882918,user4 logged in from DE and then UK within 0.4 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user6,2026-04-08 12:25:48.882918,user6 logged in from DE and then UK within 0.2 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user12,2026-04-08 08:43:48.882918,user12 logged in from US and then CA within 1.8 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user17,2026-04-08 06:17:48.882918,user17 logged in from IN and then US within 0.3 hours.,Verify user identity and enforce MFA.,90,High
impossible_travel,High,user5,2026-04-07 19:38:48.882918,user5 logged in from US and then CA within 0.3 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user24,2026-04-07 06:07:48.882918,user24 logged in from US and then DE within 1.2 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user15,2026-04-06 22:13:48.882918,user15 logged in from US and then IN within 0.1 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user10,2026-04-06 19:24:48.882918,user10 logged in from CA and then DE within 1.6 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user26,2026-04-05 02:23:48.882918,user26 logged in from US and then IN within 1.3 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user3,2026-04-04 12:43:48.882918,user3 logged in from UK and then US within 0.1 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user28,2026-04-03 20:16:48.882918,user28 logged in from CA and then US within 1.4 hours.,Verify user identity and enforce MFA.,100,High
excessive_login_frequency,Medium,user25,2026-04-16 03:24:48.882918,user25 made 37 login attempts within a 1-hour window.,Investigate automation or credential stuffing. Apply rate limiting.,100,High
off_hours_admin_access,Medium,admin1,2026-04-13 06:24:48.882918,Admin admin1 logged in at 06:00 outside business hours.,Confirm if maintenance was scheduled; review access logs.,100,High
off_hours_admin_access,Medium,admin2,2026-04-13 04:57:48.882918,Admin admin2 logged in at 04:00 outside business hours.,Confirm if maintenance was scheduled; review access logs.,100,High
